searches,hits
shrub* density* facil*,242
shrub* density* facil* plant*,214
shrub density* facilitation* plant*,126
shrub density* facilitation*  ,129
shrub* density* cost*,117
shrub* density* animal trade off*,4
shrub* density* trade off*,33
shrub density* trade off*,30
shrub size* shrub density* animal density*,31
shrub size* shrub density*,479
shrub size* animal density*,31
shrub density* animal density*,255
"animal, shrub, density, positive",18
